sample_index,sample_id,category,task,example,gt_skill_pattern,official_status,official_eligible,repeat_1_status,repeat_1_success,repeat_2_status,repeat_2_success,case_dir
1,CommenSence/insert_flower_common_sense/example0,CommenSence,insert_flower_common_sense,example0,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example0
2,CommenSence/insert_flower_common_sense/example1,CommenSence,insert_flower_common_sense,example1,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example1
3,CommenSence/insert_flower_common_sense/example2,CommenSence,insert_flower_common_sense,example2,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example2
4,CommenSence/insert_flower_common_sense/example3,CommenSence,insert_flower_common_sense,example3,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example3
5,CommenSence/insert_flower_common_sense/example4,CommenSence,insert_flower_common_sense,example4,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example4
6,CommenSence/insert_flower_common_sense/example5,CommenSence,insert_flower_common_sense,example5,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example5
7,CommenSence/insert_flower_common_sense/example6,CommenSence,insert_flower_common_sense,example6,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example6
8,CommenSence/insert_flower_common_sense/example7,CommenSence,insert_flower_common_sense,example7,pick>insert,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example7
9,CommenSence/insert_flower_common_sense/example8,CommenSence,insert_flower_common_sense,example8,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example8
10,CommenSence/insert_flower_common_sense/example9,CommenSence,insert_flower_common_sense,example9,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example9
11,CommenSence/insert_flower_common_sense/example10,CommenSence,insert_flower_common_sense,example10,pick>insert,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example10
12,CommenSence/insert_flower_common_sense/example11,CommenSence,insert_flower_common_sense,example11,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example11
13,CommenSence/insert_flower_common_sense/example12,CommenSence,insert_flower_common_sense,example12,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example12
14,CommenSence/insert_flower_common_sense/example13,CommenSence,insert_flower_common_sense,example13,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example13
15,CommenSence/insert_flower_common_sense/example14,CommenSence,insert_flower_common_sense,example14,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example14
16,CommenSence/insert_flower_common_sense/example15,CommenSence,insert_flower_common_sense,example15,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example15
17,CommenSence/insert_flower_common_sense/example16,CommenSence,insert_flower_common_sense,example16,pick>insert,B5_nondeterministic_mismatch,False,completed,True,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example16
18,CommenSence/insert_flower_common_sense/example17,CommenSence,insert_flower_common_sense,example17,pick>insert,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example17
19,CommenSence/insert_flower_common_sense/example18,CommenSence,insert_flower_common_sense,example18,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example18
20,CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full_preload_target\CommenSence\insert_flower_common_sense\example19
